date,VIX1D,OVX,VIX9D,VIX,VIX3M,VIX6M,VIX1Y,SKEW,VIX_TERM_SLOPE
1992-05-12,,,,15.68,,,,116.52,
1992-05-13,,,,15.19,,,,114.28,
1992-05-14,,,,15.49,,,,112.96,
1992-05-15,,,,14.82,,,,112.88,
1992-05-18,,,,14.62,,,,115.72,
1992-05-19,,,,13.57,,,,114.43,
1992-05-20,,,,13.62,,,,114.2,
1992-05-21,,,,13.92,,,,113.44,
1992-05-22,,,,13.73,,,,112.23,
1992-05-26,,,,14.92,,,,114.71,
1992-05-27,,,,13.99,,,,110.9,
1992-05-28,,,,13.77,,,,111.27,
1992-05-29,,,,13.86,,,,109.47,
1992-06-01,,,,14.43,,,,111.82,
1992-06-02,,,,14.57,,,,110.72,
1992-06-03,,,,14.35,,,,109.62,
1992-06-04,,,,13.66,,,,108.96,
1992-06-05,,,,14.65,,,,110.07,
1992-06-08,,,,15.19,,,,109.64,
1992-06-09,,,,15.97,,,,107.85,
1992-06-10,,,,16.62,,,,108.58,
1992-06-11,,,,16.29,,,,108.02,
1992-06-12,,,,14.95,,,,108.39,
